,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,86,1,4,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0
1,2,89,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
2,4,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
3,1,6,3,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,0,0,0,0,92,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,8,76,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,9,5,0,83,2,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,0,1,2,0,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,1,4,3,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,2,1,1,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,89,3,5,0,0,0
17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,89,2,0,0,0
18,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,91,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,97
