,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,91,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1,2,90,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
2,7,0,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,2,4,3,89,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,0,95,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,7,85,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,4,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,12,5,0,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,2,1,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,2,7,3,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,2,1,1,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,91,1,5,0,0,0
17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,89,3,0,0,0
18,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,89,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,3,1
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,94,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,97
