,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,92,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0
1,1,87,1,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0
2,5,3,86,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0
3,3,6,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,94,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,7,82,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,5,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,0,10,7,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,98,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,3,2,3,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95,2,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90,2,5,0,0,0
17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,86,2,0,0,0
18,2,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,2,3,86,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,5,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98
