,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,87,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0
1,4,88,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0
2,4,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0
3,4,8,2,85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,0,90,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,8,77,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,1,3,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,9,9,1,78,2,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,0,1,2,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,98,0,0,0,1,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0
14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,87,2,2,3,3,0,1,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,94,3,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,89,2,5,0,0,0
17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,2,86,3,0,0,0
18,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,91,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,2
20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98
