,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,89,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0
1,2,95,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,4,3,88,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0
3,6,9,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,92,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,7,80,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,6,93,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,10,11,1,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,2,1,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,98,0,0,1,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,2,2,2,4,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,98,1,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,90,2,4,0,0,0
17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,85,5,0,0,0
18,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,89,0,1,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,7,3
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,96,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,95
