,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,89,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0
1,2,92,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2,5,1,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0
3,4,7,2,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,91,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,7,82,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,3,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,8,5,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,2,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,3,3,2,0,0,1
15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,95,3,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,88,4,4,0,0,0
17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,2,86,2,0,0,0
18,2,2,1,3,0,0,0,0,0,0,0,0,0,0,2,0,1,2,87,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,5,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,95,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98
