,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,88,1,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0
1,3,92,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,1,91,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0
3,0,4,2,92,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,91,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,8,82,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,7,90,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7,0,0,0,0,8,8,0,81,2,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,0,2,1,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,1,4,1,0,0,0
15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,93,3,1,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,90,3,2,0,0,0
17,2,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,1,88,0,0,1,0
18,2,3,0,1,0,0,0,1,0,0,0,0,0,0,3,0,4,3,83,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,3,0
20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,92,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98
