,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,88,2,2,4,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0
1,2,94,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,6,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,2,8,2,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,92,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,2,85,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,5,8,0,85,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,2,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,1,98,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,1,3,2,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,96,3,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,2,4,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,2,86,2,0,0,0
18,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,6,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99
