,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,88,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0
1,2,91,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2,4,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
3,5,8,2,83,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,0,0,0,0,91,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,5,82,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,4,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,6,7,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,2,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,98,0,0,2,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,98,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,1,98,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,91,2,1,2,2,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,93,3,2,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,1,6,0,0,0
17,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,84,5,0,0,0
18,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,89,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,7,2
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,1
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,98
