,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,83,2,6,1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,1,0
1,3,90,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2,2,1,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,1,7,4,85,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,0,0,0,0,96,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,8,80,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,7,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,11,6,1,80,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,0,0,1,2,2,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,86,0,3,7,2,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95,3,0,0,0,0,0
16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,1,4,0,0,0
17,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,86,2,0,1,0
18,4,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,5,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,97
