,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,90,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
1,2,93,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2,4,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
3,1,6,1,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4,0,0,0,0,94,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,12,75,1,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,1,6,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,9,3,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,2,97,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,5,3,0,0,0
15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95,2,1,1,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,87,3,6,0,0,0
17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,87,1,0,0,0
18,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,89,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,98,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,98
