,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,90,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0
1,1,92,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2,5,1,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,2,7,3,87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,94,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,4,83,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,3,95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,5,8,0,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,1,1,2,2,94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,2,97,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,0,3,3,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95,3,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,90,3,4,0,0,0
17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,89,1,0,0,0
18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,6,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99
