,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,91,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
1,1,92,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0
2,1,1,91,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0
3,4,4,2,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,0,0,0,0,90,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,3,83,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,8,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,6,6,0,85,1,0,0,0,0,0,0,1,0,0,1,0,0,0
8,0,0,0,0,1,2,2,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1,0,0,98,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,88,3,1,5,1,0,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95,2,1,0,0,0,0
16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,87,2,4,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,3,82,3,0,0,0
18,3,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,88,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,4,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,93,2
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99
